,School ,mean,lon,lat,Key
274,Beijing Xicheng District Shichahai Primary School ,144532,116.393433,39.929393,1
770,Qingyundian Town No.1 Central Primary School Lower Grade Department ,138710,116.513215,39.677543,0
263,Beijing No.161 Middle School Affiliated Primary School ,113247,116.390706,39.918235,1
171,Beijing Dongshishitiao Primary School ,113121.25,116.422075,39.93669,1
344,Beijing No.2 Experimental Primary School ,112587.7794,116.367702,39.904721,1
345,Beijing No.2 Experimental Primary School ,112587.7794,116.342319,39.795637,1
272,Beijing Zizhong Primary School ,109771.4444,116.381296,39.917192,1
492,Miyun No.6 Primary School ,100568,116.819162,40.371082,1
301,Beijing Normal University Jingshi Affiliated Primary School No.3 Branch ,99228.17647,116.370705,39.927245,1
406,Shijia Primary School Sui'anbo Campus ,98449.3125,116.424343,39.916126,1
623,Primary School Affiliated to Tsinghua University ,97264.78947,116.323053,39.995666,1
374,Beijing Lei Feng Primary School ,96717.47699,116.378382,39.942788,1
375,Beijing Lei Feng Primary School ,96717.47699,116.39173,39.947689,1
471,Fendou Primary School ,96632.0203,116.348686,39.925387,1
472,Fendou Primary School ,96632.0203,116.361635,39.90142,1
136,Beijing Mechanics Primary School ,96271.02424,116.377995,39.911382,1
43,Zhongguancun No.3 Primary School (North Campus) ,96054.67659,116.295229,39.968835,1
277,Beijing Xicheng District Normal School Affiliated Primary School ,96032.12705,116.385031,39.95243,1
278,Beijing Xicheng District Normal School Affiliated Primary School ,96032.12705,116.390917,39.955758,1
276,Beijing Xicheng District Fendou Primary School ,95860.86364,116.367351,39.898582,1
491,Miyun No.2 Primary School ,95637.5625,116.847142,40.371983,1
338,Beijing No.1 Experimental Primary School ,95554.26446,116.383048,39.896989,1
822,Huang Chenggen Primary School (Nursing Campus) ,95200.03047,116.364289,39.93162,1
360,Beijing Yuxiang Primary School ,95155.20953,116.377897,39.965583,1
719,Xidan Primary School ,94987.50079,116.369602,39.909426,1
49,Zhonggu Friendship Primary School ,94827.61641,116.340246,39.915993,1
50,Zhonggu Friendship Primary School ,94827.61641,116.350552,39.911992,1
283,"Xishiku Primary School, Xicheng District, Beijing ",93492.77586,116.38131,39.924113,1
403,Shijia Primary School ,93469.84615,116.4286,39.925392,1
818,Wong Shing Kun Primary School ,93465.84563,116.362355,39.93718,1
819,Wong Shing Kun Primary School ,93465.84563,116.376368,39.930751,1
273,Beijing Xicheng District Wulutong Primary School ,93411.96957,116.383425,39.960841,1
347,Beijing No.2 Experimental Primary School (Baiyun Road Branch) ,92085.09806,116.34374,39.904805,1
512,Fuxue Primary School ,92079.01277,116.41104,39.939599,1
284,Beijing Xicheng District Fuchengmenwai No.1 Primary School ,90277.71655,116.350439,39.921916,1
155,Beijing Primary School ,89544.8254,116.360739,39.896893,1
282,Beijing Xicheng District Yuxiang Primary School Sunshine Campus ,88936.27091,116.387114,39.966329,1
479,Wang Miao Primary School ,88765.85091,116.370538,39.915634,1
177,Beijing Dongcheng District Black Sesame Hutong Primary School ,88331.89216,116.404918,39.937644,1
356,Beijing No.8 Middle School Affiliated Primary School ,86682.451,116.382681,39.888073,1
395,Changqiao Primary School (North Campus) ,85398.94118,116.375318,39.938228,1
831,Black Sesame Hutong Primary School (Weaving and Dyeing Bureau Campus) ,85158,116.404671,39.931766,1
339,Beijing No.1 Experimental Primary School Qianmen Branch ,85152.87195,116.388897,39.899368,1
638,Dengshikou Primary School Beichizi Primary School Campus ,85127.09091,116.403324,39.919353,0
54,Yinyan Campus of Primary School Affiliated to Renmin University of China ,84951.61739,116.287249,39.967568,1
722,Xicheng District Primary School Labor Technology Center ,84949.15556,116.340634,39.908545,0
128,Primary School Affiliated to Beijing Jiaotong University (North Campus) ,84627.98529,116.342277,39.953954,1
720,Xicheng District Sanlihe No.3 Primary School ,84573.33161,116.337647,39.910796,1
636,Dengshikou Primary School ,84476.35632,116.414296,39.920719,0
275,Beijing Xicheng District Changqiao Primary School ,84103.25,116.377842,39.933435,0
500,Exhibition Road No.1 Primary School ,83687.24363,116.339194,39.930271,0
540,New Century Experimental Primary School ,83530.09538,116.395157,39.878494,0
40,Zhongguancun No.1 Primary School ,83464.54066,116.322265,39.983817,1
41,Zhongguancun No.1 Primary School ,83464.54066,116.275724,40.016313,1
384,Huajia Primary School ,83323.65041,116.361777,39.927992,0
362,Beijing Yuying School Primary School ,83313.98758,116.287651,39.910415,0
279,"Kangle Li Primary School, Xicheng District, Beijing ",82624.73962,116.36832,39.896182,0
610,Haidian District Experimental Primary School (Fucheng Road Campus) ,82543.36364,116.314001,39.923105,1
9,Primary School Affiliated to Sanfan Middle School ,82533.97177,116.386099,39.970496,0
524,Chi Shing Primary School (South Site) ,82524.76777,116.368856,39.935817,0
107,Experimental Primary School Attached to National People's Congress ,82253.9036,116.32144,39.974703,1
